post_title,post_name,post_parent,ID,post_excerpt,post_content,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,parent,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_metakeywords,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:translation_priority,meta:_accessories_ids,meta:_elementor_css,meta:_elementor_template_type,meta:_elementor_version,meta:_product_version,meta:_sold_individually,meta:_thumbnail_id,meta:_wc_average_rating,meta:_wc_review_count,meta:_wcml_average_rating,meta:_wcml_review_count,meta:_wp_page_template,meta:_wpml_location_migration_done,meta:_wpml_media_duplicate,meta:_wpml_media_featured,meta:_wpml_media_has_media,meta:_wpml_word_count,meta:_ywpar_fixed_or_percentage,meta:_ywpar_max_point_discount,meta:_ywpar_maximum_discount_type,meta:_ywpar_override_maximum_discount,meta:_ywpar_override_points_date,meta:_ywpar_override_points_earning,meta:_ywpar_point_earned,meta:_ywpar_point_earned_dates_from,meta:_ywpar_point_earned_dates_to,meta:_ywpo_preorder,meta:cwg_total_subscribers,meta:product_designer_settings,meta:rs_page_bg_color,meta:tbas_animation_show,meta:tbas_animation_speed,meta:tbas_animation_title,meta:tbas_animation_type,meta:tbas_countdown_duration,meta:tbas_countdown_title,meta:tbas_enable_animation,meta:tbas_override_global,meta:total_sales,meta:wc_productdata_options,meta:_111_vypnuti,meta:_16_vypnuti,meta:_4162_vypnuti,meta:_4949_vypnuti,meta:_6373_vypnuti,meta:_6830_vypnuti,meta:_763_vypnuti,meta:_80_vypnuti,meta:_variation_description,meta:_wcml_custom_prices_status,meta:_zasilkovna_cz_vypnuti,meta:_zasilkovna_sk_vypnuti,meta:attribute_pa_ramovani,meta:attribute_pa_rozmer,meta:design_is_variable,meta:nasa_variation_gallery_images,attribute:pa_obtiznost,attribute_data:pa_obtiznost,attribute_default:pa_obtiznost,attribute:pa_pocet-barev,attribute_data:pa_pocet-barev,attribute_default:pa_pocet-barev,attribute:pa_pocet-poli,attribute_data:pa_pocet-poli,attribute_default:pa_pocet-poli,attribute:pa_ramovani,attribute_data:pa_ramovani,attribute_default:pa_ramovani,attribute:pa_rozmer,attribute_data:pa_rozmer,attribute_default:pa_rozmer
"Malování podle čísel - REPLACE_NAME - 60x80 cm, plátno vypnuté na rám",replace_slug-platno-vypnute-na-ram-60x80-cm,20827,20830,"Rozměr obrazu: 60x80 cm, Rámování: plátno vypnuté na rám",,publish,,3,4/12/2021 17:04,1,closed,REPLACE_SKU-60x80-ram,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,2149,,2.4,8,80,125,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":29,""to_translate"":{""sk"":29}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,plátno vypnuté na rám,60x80 cm,0,,,,,,,,REPLACE_FASETS_60x80,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 60x80 cm, bez dřevěného rámu",replace_slug-bez-dreveneho-ramu-60x80-cm,20827,20831,"Rozměr obrazu: 60x80 cm, Rámování: bez dřevěného rámu",,publish,,4,4/12/2021 17:04,1,closed,REPLACE_SKU-60x80-bez,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,1749,,1.2,11,11,90,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":26,""to_translate"":{""sk"":26}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,bez dřevěného rámu,60x80 cm,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malování podle čísel - REPLACE_NAME,replace_slug,,20833,,PAINT_BY_NUMBERS,publish,,0,4/12/2021 17:21,1,open,REPLACE_SKU,,,,no,no,,699,,,,,,,instock,no,no,taxable,,,,,,-1,-1,,,,,,,https://www.malujsi.cz/import/replace_slug-01.jpg ! alt : Malování podle čísel REPLACE_NAME ! title : Malování podle čísel REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/import/replace_slug-02.jpg ! alt : Návod pro malování podle čísel REPLACE_NAME ! title : Návod pro malování podle čísel REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/import/replace_slug-03.jpg ! alt : Obraz na zdi REPLACE_NAME ! title : Obraz na zdi REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/wp-content/uploads/2021/02/co_uvnitr_najdete-1.jpg ! alt : REPLACE_NAME ! title : REPLACE_NAME ! desc :  ! caption : ,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,variable,,,,,Optional,,"{""time"":1616943105,""fonts"":[],""icons"":[],""dynamic_elements_ids"":[],""status"":""empty"",""0"":"""",""css"":""""}",wp-post,3.1.4,4.2.0,no,20612,0,0,,,default,1,1,1,1,"{""total"":10,""to_translate"":{""sk"":10}}",fixed,,fixed,no,no,no,,,,no,0,"{""open_designer"":0}",,user-switch,300,,typing,30,{{countdown}},yes,no,0,"[{""_bubble_hot"":"""",""_product_video_link"":"""",""_product_video_size"":"""",""_product_image_simple_slide"":"""",""nasa_specifications"":"""",""nasa_layout"":"""",""nasa_image_layout"":""double"",""nasa_image_style"":""slide"",""nasa_thumb_style"":""ver"",""nasa_tab_style"":"""",""_personalize"":""""}]",,,,,,,,,,,,,,,,,REPLACE_DIFFICULT,2|1|0,,REPLACE_COLORS,4|1|0,,REPLACE_FASETS,3|1|0,,plátno vypnuté na rám|bez dřevěného rámu,1|1|1,,40x50 cm|80x100 cm,0|1|1,
"Malování podle čísel - REPLACE_NAME - 40x50 cm, plátno vypnuté na rám",replace_slug-platno-vypnute-na-ram-40x50-cm,20833,20834,"Rozměr obrazu: 40x50 cm, Rámování: plátno vypnuté na rám",,publish,,1,4/12/2021 17:21,1,closed,REPLACE_SKU-40x50-ram,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,949,,0.6,8,63,63,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":29,""to_translate"":{""sk"":29}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,,,,,,,,,,0,,,plátno vypnuté na rám,40x50 cm,0,,,,,,,,REPLACE_FASETS_40x50,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 40x50 cm, bez dřevěného rámu",replace_slug-bez-dreveneho-ramu-40x50-cm,20833,20835,"Rozměr obrazu: 40x50 cm, Rámování: bez dřevěného rámu",,publish,,2,4/12/2021 17:21,1,closed,REPLACE_SKU-40x50-bez,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,699,,0.3,11,11,50,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":26,""to_translate"":{""sk"":26}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,,,,,,,,,,0,,,bez dřevěného rámu,40x50 cm,0,,,,,,,,,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 80x100 cm, plátno vypnuté na rám",replace_slug-platno-vypnute-na-ram-80x100-cm,20833,20836,"Rozměr obrazu: 80x100 cm, Rámování: plátno vypnuté na rám",,publish,,3,4/12/2021 17:21,1,closed,REPLACE_SKU-80x100-ram,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,2699,,2.4,8,80,125,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":29,""to_translate"":{""sk"":29}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,plátno vypnuté na rám,80x100 cm,0,,,,,,,,REPLACE_FASETS_80x100,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 80x100 cm, bez dřevěného rámu",replace_slug-bez-dreveneho-ramu-80x100-cm,20833,20837,"Rozměr obrazu: 80x100 cm, Rámování: bez dřevěného rámu",,publish,,4,4/12/2021 17:21,1,closed,REPLACE_SKU-80x100-bez,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,2299,,1.2,11,11,90,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":26,""to_translate"":{""sk"":26}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,bez dřevěného rámu,80x100 cm,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malování podle čísel - REPLACE_NAME,replace_slug,,20839,,PAINT_BY_NUMBERS,publish,,0,4/12/2021 17:32,1,open,REPLACE_SKU,,,,no,no,,749,,,,,,,instock,no,no,taxable,,,,,,-1,-1,,,,,,,https://www.malujsi.cz/import/replace_slug-01.jpg ! alt : Malování podle čísel REPLACE_NAME ! title : Malování podle čísel REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/import/replace_slug-02.jpg ! alt : Návod pro malování podle čísel REPLACE_NAME ! title : Návod pro malování podle čísel REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/import/replace_slug-03.jpg ! alt : Obraz na zdi REPLACE_NAME ! title : Obraz na zdi REPLACE_NAME ! desc :  ! caption :  | https://www.malujsi.cz/wp-content/uploads/2021/02/co_uvnitr_najdete-1.jpg ! alt : REPLACE_NAME ! title : REPLACE_NAME ! desc :  ! caption : ,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,variable,,,,,Optional,,"{""time"":1616943105,""fonts"":[],""icons"":[],""dynamic_elements_ids"":[],""status"":""empty"",""0"":"""",""css"":""""}",wp-post,3.1.4,4.2.0,no,20612,0,0,,,default,1,1,1,1,"{""total"":10,""to_translate"":{""sk"":10}}",fixed,,fixed,no,no,no,,,,no,0,"{""open_designer"":0}",,user-switch,300,,typing,30,{{countdown}},yes,no,0,"[{""_bubble_hot"":"""",""_product_video_link"":"""",""_product_video_size"":"""",""_product_image_simple_slide"":"""",""nasa_specifications"":"""",""nasa_layout"":"""",""nasa_image_layout"":""double"",""nasa_image_style"":""slide"",""nasa_thumb_style"":""ver"",""nasa_tab_style"":"""",""_personalize"":""""}]",,,,,,,,,,,,,,,,,REPLACE_DIFFICULT,2|1|0,,REPLACE_COLORS,4|1|0,,REPLACE_FASETS,3|1|0,,plátno vypnuté na rám|bez dřevěného rámu,1|1|1,,40x60 cm|80x120 cm,0|1|1,
"Malování podle čísel - REPLACE_NAME - 40x60 cm, plátno vypnuté na rám",replace_slug-platno-vypnute-na-ram-40x60-cm,20839,20840,"Rozměr obrazu: 40x60 cm, Rámování: plátno vypnuté na rám",,publish,,1,4/12/2021 17:32,1,closed,REPLACE_SKU-40x60-ram,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,1049,,0.6,8,63,63,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":29,""to_translate"":{""sk"":29}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,,,,,,,,,,0,,,plátno vypnuté na rám,40x60 cm,0,,,,,,,,REPLACE_FASETS_40x60,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 40x60 cm, bez dřevěného rámu",replace_slug-bez-dreveneho-ramu-40x60-cm,20839,20841,"Rozměr obrazu: 40x60 cm, Rámování: bez dřevěného rámu",,publish,,2,4/12/2021 17:32,1,closed,REPLACE_SKU-40x60-bez,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,749,,0.3,11,11,50,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":26,""to_translate"":{""sk"":26}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,,,,,,,,,,0,,,bez dřevěného rámu,40x60 cm,0,,,,,,,,,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 80x120 cm, plátno vypnuté na rám",replace_slug-platno-vypnute-na-ram-80x120-cm,20839,20842,"Rozměr obrazu: 80x120 cm, Rámování: plátno vypnuté na rám",,publish,,3,4/12/2021 17:32,1,closed,REPLACE_SKU-80x120-ram,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,3299,,2.4,8,80,125,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":29,""to_translate"":{""sk"":29}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,plátno vypnuté na rám,80x120 cm,0,,,,,,,,REPLACE_FASETS_80x120,,,,,,,,
"Malování podle čísel - REPLACE_NAME - 80x120 cm, bez dřevěného rámu",replace_slug-bez-dreveneho-ramu-80x120-cm,20839,20843,"Rozměr obrazu: 80x120 cm, Rámování: bez dřevěného rámu",,publish,,4,4/12/2021 17:32,1,closed,REPLACE_SKU-80x120-bez,REPLACE_SKU,Malování podle čísel &#8211; REPLACE_NAME,,no,no,,2749,,1.2,11,11,90,parent,instock,no,no,taxable,,,,,,-1,-1,,,,,,,,,https://www.malujsi.cz/obchod/nezarazene/replace_slug/,,,,,,Optional,,,,,4.2.0,no,0,0,0,,,,1,1,1,,"{""total"":26,""to_translate"":{""sk"":26}}",fixed,,fixed,no,no,no,,,,no,,,,,,,,,,,,0,,yes,yes,yes,yes,yes,yes,yes,yes,,0,yes,yes,bez dřevěného rámu,80x120 cm,0,,,,,,,,,,,,,,,,
